ID,Galaxy,Distance o (Mpc),Distance z (Mpc),Velocity helio (km/s),Velocity LG (km/s),Velocity CMB (km/s),Velocity Virgo (km/s),Velocity GA (km/s),Velocity Shapley (km/s),Velocity Tonry (km/s)
1,NGC 0300,2.02,2.00,144,125,-57,114,92,133,-140
2,NGC 0925,9.12,9.16,553,781,398,778,561,664,374
3,NGC 1326A,16.14,16.14,1836,1749,1787,1698,1742,1794,1164
4,NGC 1365,17.22,17.95,1636,1544,1597,1503,1544,1594,1157
5,NGC 1425,20.89,21.88,1512,1440,1477,1403,1417,1473,1465
6,NGC 2403,3.13,3.22,131,300,216,343,222,278,193
7,NGC 2541,11.22,11.22,559,646,736,744,674,714,936
8,NGC 2090,11.43,11.75,931,757,1057,805,869,882,926
9,NGC 3031,3.55,3.63,-34,127,65,139,43,80,246
10,NGC 3198,13.68,13.80,662,704,890,768,765,772,848
11,NGC 3351,9.33,10.00,778,641,1117,594,696,642,1175
12,NGC 3368,9.86,10.52,897,761,1236,715,823,768,1238
13,NGC 3621,6.55,6.64,805,615,1152,557,687,609,1020
14,NGC 4321,14.32,15.21,1571,1469,1856,1350,1501,1433,1436
15,NGC 4414,16.60,17.70,716,693,959,586,661,619,1215
16,NGC 4496A,14.52,14.86,1730,1575,2024,1350,1518,1424,1467
17,NGC 4548,15.00,16.22,486,381,763,1350,1460,1384,1421
18,NGC 4535,14.79,15.78,1961,1826,2248,1350,1530,1444,1410
19,NGC 4536,14.45,14.93,1804,1642,2097,1350,1521,1423,1463
20,NGC 4639,20.99,21.98,1010,902,1283,1350,1481,1403,1448
21,NGC 4725,11.91,12.36,1206,1161,1446,1040,1156,1103,1225
22,IC 4182,4.53,4.49,321,344,513,312,355,318,636
23,NGC 5253,3.25,3.15,404,156,612,160,349,232,800
24,NGC 7331,14.52,14.72,816,1110,508,1099,912,999,820
